link,title,subtitle
https://www.manilatimes.net/2023/05/28/business/top-business/inflation-likely-down-anew-in-may/1893361,,
https://www.manilatimes.net/2023/05/28/business/top-business/inflation-likely-down-anew-in-may/1893361,Inflation likely down anew in May,"By Philippine News Agency-May 28, 2023 - -May 28, 2023"
https://www.manilatimes.net/2023/05/28/business/top-business/inflation-likely-down-anew-in-may/1893361,How civil society makes itself irrelevant,"By Ben Kritz-May 28, 2023 - -May 28, 2023"
https://www.manilatimes.net/2023/05/28/business/top-business/inflation-likely-down-anew-in-may/1893361,Wagner begins exit from Bakhmut,"By Associated Press-May 26, 2023 - -May 26, 2023"
https://www.manilatimes.net/2023/05/28/business/top-business/inflation-likely-down-anew-in-may/1893361,Global dividends hit Q1 record $326.7B,"By Agence France-Presse-May 25, 2023 - -May 25, 2023"
https://www.manilatimes.net/2023/05/28/business/top-business/inflation-likely-down-anew-in-may/1893361,Hong Kong inflation rises 2.1% in April,"By Xinhua News Agency-May 24, 2023 - -May 24, 2023"
https://www.manilatimes.net/2023/05/28/business/top-business/inflation-likely-down-anew-in-may/1893361,Bragging rights up for grabs in 1st LPGT PH,"By The Manila Times-May 21, 2023 - -May 21, 2023"
https://www.manilatimes.net/2023/05/28/business/top-business/inflation-likely-down-anew-in-may/1893361,Green tyranny: Why energy transition has stalled,"By Yen Makabenta-May 20, 2023 - -May 20, 2023"
https://www.manilatimes.net/2023/05/28/business/top-business/inflation-likely-down-anew-in-may/1893361,For the boys: Do we witness Christ to our family?,"By Ricardo Saludo-May 18, 2023 - -May 18, 2023"
https://www.manilatimes.net/2023/05/28/business/top-business/inflation-likely-down-anew-in-may/1893361,ICTSI Philippine Masters back at Villamor,"By The Manila Times-May 18, 2023 - -May 18, 2023"
https://www.manilatimes.net/2023/05/28/business/top-business/inflation-likely-down-anew-in-may/1893361,BSP rate hike pause all but likely this Thursday,"By Niña Myka Pauline Arceo,The Manila Times-May 16, 2023 - -May 16, 2023"
https://www.manilatimes.net/2023/05/28/business/top-business/inflation-likely-down-anew-in-may/1893361,Filipinos' average IQ below average,"By Al Vitangcol 3rd-May 13, 2023 - -May 13, 2023"
https://www.manilatimes.net/2023/05/28/business/top-business/inflation-likely-down-anew-in-may/1893361,K-Pop sensations perform for Overpass 2023 at Araneta,"May 12, 2023 - May 12, 2023"
https://www.manilatimes.net/2023/05/28/business/top-business/inflation-likely-down-anew-in-may/1893361,Inflation expected to dampen growth,"By Niña Myka Pauline Arceo- May 8, 2023 - - May 8, 2023"
https://www.manilatimes.net/2023/05/28/business/top-business/inflation-likely-down-anew-in-may/1893361,MB exec says fresh 25-bps hike possible,"By Niña Myka Pauline Arceo-May 8, 2023 - -May 8, 2023"
https://www.manilatimes.net/2023/05/28/business/top-business/inflation-likely-down-anew-in-may/1893361,Hike in BSP rates still possible,"By Philippine News Agency-May 7, 2023 - -May 7, 2023"
https://www.manilatimes.net/2023/05/28/business/top-business/inflation-likely-down-anew-in-may/1893361,Dismissal based on authorized cause,By Persida Acosta - 
